product_name,product_manufacturer,product_mrp,type,quickViewDesc
SONY PlayStation 5 Slim 1TB SSD Gaming Console (White),Sony,54990,Gaming Consoles,Console Type: Gaming Console | Controller Type: 1 x Wireless Controller | Supported Resolution: Up to 4K | Storage Drive: 1TB SSD | No. Of USB Ports: 2 x USB Type (A), 2 x Type (C) | Warranty: 1 Year Warranty
SONY PlayStation 5 1TB SSD Digital Edition Slim Gaming Console (White),Sony,49990,Gaming Consoles,Console Type: Gaming Console | Controller Type: 1 x Wireless Controller | RAM: 1GB RAM | Supported Resolution: Up to 4K | Storage Drive: 1TB SSD | No. Of USB Ports: 2 x USB Type (A), 2 x Type (C) | Warranty: 1 Year Warranty
ASUS TUF F16 FX677VU-RL055WS Intel Core 5 Gaming Laptop (16GB, 512GB SSD, Windows 11 Home, 6GB Graphics, 16 inch 144 Hz FHD+ WUXGA Display, NVIDIA GeForce RTX 4050, MS Office Home 2024, Mecha Gray, 2.20 KG),Asus,108990,Gaming Laptops,Display: 40.64 cms (16 inches), FHD+ WUXGA | Memory: 16GB DDR5 RAM, 512GB SSD ROM | Processor: Intel Core 5 | OS: Windows 11 Home | Graphics: NVIDIA GeForce RTX 4050 | Included Software: MS Office Home 2024, Microsoft 365 Basic, McAfee 1 Year | Anti Glare Display, G-Sync Technology, Backlit Keyboard | Warranty: 1 Year Onsite
Lenovo LOQ 15IAX9 Intel Core i5 12th Gen Gaming Laptop (16GB, 512GB SSD, Windows 11 Home, 6GB Graphics, 15.6 inch 144 Hz IPS Display, NVIDIA GeForce RTX 3050, MS Office 2024, Luna Grey, 2.38 KG),Lenovo,108190,Gaming Laptops,Display: 39.2 cms (15.6 inches), IPS | Memory: 16GB GDDR6 RAM, 512GB SSD ROM | Processor: Intel Core i5 12th Generation | OS: Windows 11 Home | Graphics: NVIDIA GeForce RTX 3050 | Included Software: MS Office 2024 | AI Enabled, Bluetooth 5.2 | Warranty: 1 year Onsite
HP Victus 15-fb3124AX AMD Ryzen 7 Gaming Laptop (16GB, 512GB SSD, Windows 11 Home, 6GB Graphics, 15.6 inch 144 Hz Full HD Display, NVIDIA GeForce RTX 4050, MS Office Home 2024, Performance Blue, 2.29 KG),HP,94933,Gaming Laptops,Display: 39.6 cms (15.6 inches), FHD | Memory: 16GB DDR5 RAM, 512GB SSD ROM | Processor: AMD Ryzen 7 | OS: Windows 11 Home | Graphics: NVIDIA GeForce RTX 4050 | Included Software: MS Office Home 2024 | Anti Glare Panel, HP Audio Boost, Backlit Keyboard | Warranty: 1 Year Onsite
ASUS TUF FA506NCG-HN200WS AMD Ryzen 7 Gaming Laptop (16GB, 512GB SSD, Windows 11 Home, 4GB Graphics, 15.6 inch 144 Hz WUXGA Full HD Display, NVIDIA GeForce RTX 3050, MS Office Home 2024, Graphite Black, 2.3 KG),Asus,85990,Gaming Laptops,Display: 39.62 cms (15.6 inches), WUXGA FHD | Memory: 16GB DDR5 RAM, 512GB SSD ROM | Processor: AMD Ryzen 7 | OS: Windows 11 Home | Graphics: NVIDIA GeForce RTX 3050 | Included Software: MS Office Home 2024, Microsoft 365 Basic | Anti Glare, RGB Backlit Keyboard, 250 Nits Brightness | Warranty: 1 Year Onsite
Lenovo LOQ 15IRX9 Intel Core i5 13th Generation Gaming Laptop (16GB, 512GB SSD, Windows 11 Home, 6GB Graphics, 15.6 Inch 144 Hz Full HD IPS Display , NVIDIA GeForce RTX 3050, MS Office Home 2024, Luna Grey, 2.38 KG,Lenovo,117490,Gaming Laptops,Display: 39.62 cms (15.6 inches), FHD IPS | Memory: 16GB DDR5 RAM, 512GB SSD ROM | Processor: Intel Core i5 13th Generation | OS: Windows 11 Home | Graphics: NVIDIA GeForce RTX 3050 | Included Software: MS Office Home 2024 | Anti Glare, Backlit Keyboard, Dual Array Microphone | Warranty: 1 Year Onsite
HP Victus 15-fb3125AX AMD Ryzen 7 Gaming Laptop (16GB, 512GB SSD, Windows 11 Home, 15.6 inch 144 Hz Full HD IPS Display, NVIDIA GeForce RTX 3050, Performance Blue, 2.29 KG),HP,82502,Gaming Laptops,Display: 39.6 cms (15.6 inches), FHD IPS | Memory: 16GB DDR5 RAM, 512GB SSD ROM | Processor: AMD Ryzen 7 | OS: Windows 11 Home | Graphics: NVIDIA GeForce RTX 3050 | Anti Glare, Backlit Keyboard, HP Audio Boost | Warranty: 1 Year Onsite
acer Nitro V15 AMD Ryzen 5 Gaming Laptop (16GB, 512GB SSD, Windows 11 Home, 6GB Graphics, 15.6 Inch 165 Hz Full HD IPS Display, NVIDIA GeForce RTX 3050, MS Office, Obsidian Black, 2.10 KG),Acer,100000,Gaming Laptops,Display: 39.62 cms (15.6 inches), FHD IPS | Memory: 16GB DDR5 RAM, 512GB SSD ROM | Processor: AMD Ryzen 5 | OS: Windows 11 Home | Graphics: NVIDIA GeForce RTX 3050 | Included Software: MS Office | Acer Comfy View, Acer TrueHarmony Technology, AI Noise Reduction | Warranty: 1 Year Onsite
MSI Thin A15 B7UC-611IN AMD Ryzen 5 Gaming Laptop (16GB, 1TB SSD, Windows 11 Home, 4GB Graphics, 15.6 inch 144 Hz Full HD Display, NVIDIA GeForce RTX 3050, MS Office Home 2021, Cosmos Gray, 1.86 KG),MSI,88990,Gaming Laptops,Display: 40 cms (15.6 inches), FHD | Memory: 16GB DDR5 RAM, 1TB SSD ROM | Processor: AMD Ryzen 5 | OS: Windows 11 Home | Graphics: NVIDIA GeForce RTX 3050 | Included Software: MS Office Home & Student 2021 | Wi-Fi 6, NVMe PCIe SSD Gen 4 | Warranty: 2 Year Onsite
ASUS TUF A16 FA607NUG-RL189WS AMD Ryzen 7 Gaming Laptop (16GB, 1TB SSD, Windows 11 Home, 6GB Graphics, 16 inch 144 Hz WUXGA Display, NVIDIA GeForce RTX 4050, MS Office Home 2024, Mecha Gray, 4.48 KG),Asus,114990,Gaming Laptops,Display: 40.64 cms (16 inches), WUXGA | Memory: 16GB DDR5 RAM, 1TB SSD ROM | Processor: AMD Ryzen 7 | OS: Windows 11 Home | Graphics: NVIDIA GeForce RTX 4050 | Included Software: MS Office Home 2024, Microsoft 365 Basic | Anti Glare Display, G-Sync Technology, Backlit Keyboard | Warranty: 1 Year Onsite
Croma Wired Gaming Keyboard & Mouse Combo (104 Keys, 7200 DPI, Ergonomic Design, Black),Croma,2499,Gaming Accessories,For Laptop, Desktop | Connectivity: Wired, USB | Rechargeable: No | Cool RGB Lighting, Anti-Ghosting, Progammable Software | 1 Year Warranty
HP Victus 15-fb3025AX AMD Ryzen 9 Gaming Laptop (16GB, 1TB SSD, Windows 11 Home, 8GB Graphics, 15.6 inch 144 Hz Full HD IPS Display, NVIDIA GeForce RTX 4060, MS Ofice Home 2024, Performance Blue, 2.29 KG),HP,126579,Gaming Laptops,Display: 39.62 cms (15.6 inches), FHD IPS | Memory: 16GB DDR5 RAM, 1TB SSD ROM | Processor: AMD Ryzen 9 | OS: Windows 11 Home | Graphics: NVIDIA GeForce RTX 4060 | Included Software: MS Office Home 2024, Microsoft 365 | Anti Glare Panel, HP Audio Boost, Backlit Keyboard | Warranty: 1 Year Onsite
ASUS TUF F16 Intel Core 5 210H Gaming Laptop (16GB, 512GB SSD, Windows 11 Home, 4GB Graphics, 16 inch 144 Hz Full HD Plus Display, NVIDIA GeForce RTX 3050A, Mecha Gray, 2.2 KG),Asus,96990,Windows Laptops,Display: 40.64 cms (16 inches), FHD plus | Memory: 16GB DDR4 RAM, 512GB SSD ROM | Processor: Intel Core 5 210H | OS: Windows 11 Home | Graphics: NVIDIA GeForce RTX 3050A | Included Software: Xbox Game Pass for PC_3 months | 144 Hz Refresh Rate, Fast Charging Capable, RGB Backlit Keyboard | Warranty: 1 year Onsite
MSI Thin 15 B13UC-2019IN Intel Core i7 13th Gen Gaming Laptop (16GB, 512GB SSD, Windows 11 Home, 4GB Graphics, 15.6 inch 144 Hz FHD IPS-Level Display, NVIDIA GeForce RTX 3050, MS Office 2021, Cosmos Gray, 1.86 KG),MSI,100990,Gaming Laptops,Display: 39.6 cms (15.6 inches), FHD IPS Level | Memory: 16GB DDR4 RAM, 512GB SSD ROM | Processor: Intel Core i7 13th Generation | OS: Windows 11 Home | Graphics: NVIDIA GeForce RTX 3050 | Included Software: MS Office Home and Student 2021 | Wi-fi 6, NVMe PCIe Gen 4 SSD | Warranty: 2 years Onsite
DELL G15-5530 Intel Core i5 13th Gen Gaming Laptop with RGB Keyboard(16GB, 512GB SSD, Windows 11, 6GB Graphics, 15.6 inch 120 Hz FHD Display, MS Office 2021, Dark Shadow Gray, 2.97 KG),Dell,107199,Gaming Laptops,Display: 39.62 cms (15.6 inches), FHD Display | Memory: 16GB LPDDR5 RAM, 512 GB SSD ROM | Processor: Intel Core i5-13450HX 13th Gen | OS: Windows 11 | Graphics: NVIDIA GeForce RTX 3050 Graphics | Included Software: MS Office Home & Student 2021 | Warranty: 1 Year Onsite
ASUS ROG Strix G16 Intel Core i7 13th Gen Gaming Laptop (16GB, 1TB SSD, Windows 11 Home, 6GB Graphics, 16 inch 165 Hz Full HD Plus Display, NVIDIA GeForce RTX 4050, MS Office Home 2024, Eclipse Gray, 2.5 KG),Asus,153990,Gaming Laptops,Display: 40.64 cms (16 inches), FHD Plus | Memory: 16GB DDR5 RAM, 1TB SSD ROM | Processor: Intel Core i7 13th Generation | OS: Windows 11 Home | Graphics: NVIDIA GeForce RTX 4050 | Included Software: MS Office Home 2024, McAfee (1 year), Microsoft 365 Basic with 100GB Cloud Storage (1 Year), Xbox Pass (3 Months) | 165Hz Refresh Rate, Backlit Chiclet Keyboard, Dolby Atmos | Warranty: 1 Years Onsite
ASUS Zenbook 1 Intel Core Ultra 9 285H Touchscreen Notebook Laptop (32GB, 1TB SSD, Windows 11 Home, 14 inch OLED Display, MS Office 2024, Ponder Blue, 1.28 KG),Asus,176990,Gaming Laptops,Display: 35.56 cms (14 inches), Touchscreen, OLED | Memory: 32GB LPDDR5X RAM, 1TB SSD ROM | Processor: Intel Core Ultra 9 285H | OS: Windows 11 Home | Graphics: Intel Arc Graphics | Included Software: MS Office 2024 | Touchscreen, 120Hz Refresh Rate, Backlit Keyboard | Warranty: 1 year Onsite
Lenovo LOQ 15ARP9 AMD Ryzen 5 Gaming Laptop (24GB, 512GB SSD, Windows 11 Home, 6GB Graphics, 15.6 inch 144 Hz Full HD IPS Display, NVIDIA GeForce RTX 3050, MS Office Home 2024, Luna Grey, 2.38 KG),Lenovo,101190,Gaming Laptops,Display: 39.62 cms (15.6 inches), FHD IPS | Memory: 24GB DDR5 RAM, 512GB M.2 PCIe NVMe SSD ROM | Processor: AMD Ryzen 5 | OS: Windows 11 Home | Graphics: NVIDIA GeForce RTX 3050 | Included Software: MS Office Home 2024 | LA1 AI Chip, High Definition Audio, TUV Rheinland Low Blue Light | Warranty: 1 year Carry-In
HP Victus 15-fa2104TX Intel Core i7 13th Gen Gaming Laptop (16GB, 512GB SSD, Windows 11 Home, 6GB Graphics, 15.6 inch 144 Hz IPS Full HD Display, NVIDIA GeForce RTX 4050, Mica Silver, 2.29 KG),HP,100583,Gaming Laptops,Display: 39.6 cms (15.6 inches), FHD IPS | Memory: 16GB DDR4 RAM, 512GB SSD ROM | Processor: Intel Core i7 13th Generation | OS: Windows 11 Home | Graphics: NVIDIA GeForce RTX 4050 | Included Software: McAfee Online Protection | Anti Glare, HP Audio Boost, Backlit Keyboard | Warranty: 1 Year Onsite
Lenovo LOQ 15ARP9 AMD Ryzen 7 Gaming Laptop (24GB, 512GB SSD, Windows 11 Home, 4GB Graphics, 15.6 inch 144 Hz Full HD IPS Display, NVIDIA GeForce RTX 3050A, MS Office Home 2024, Luna Grey, 2.38 KG),Lenovo,104690,Gaming Laptops,Display: 39.62 cms (15.6 inches), FHD IPS | Memory: 24GB DDR5 RAM, 512GB SSD ROM | Processor: AMD Ryzen 7 | OS: Windows 11 Home | Graphics: NVIDIA GeForce RTX 3050A | Included Software: MS Office Home 2024 | Anti Glare Panel, Backlit Keyboard, AI-Powered | Warranty: 1 Year Onsite
HP Victus 15-fa2309TX Intel Core i7 13th Gen Gaming Laptop (24GB, 1TB SSD, Windows 11 Home, 8GB Graphics, 15.6 Inch 144 Hz Full HD IPS Display, NVIDIA GeForce RTX 5050, MS Office Home 2024, Mica Silver, 2.29 KG),HP,124319,Gaming Laptops,Display: 39.6 cms (15.6 inches), FHD IPS | Memory: 24GB DDR5 RAM, 1TB SSD ROM | Processor: Intel Core i7 13th Generation | OS: Windows 11 Home | Graphics: NVIDIA GeForce RTX 5050 | Included Software: MS Office Home 2024, McAfee Online Protection | Anti Glare, Backlit Keyboard, HP Audio Boost | Warranty: 1 Year Onsite
Lenovo LOQ 15IRX9 Intel Core i5 13th Gen Gaming Laptop (24GB, 512GB SSD, Windows 11 Home, 6GB Graphics, 15.6 inch 144 Hz Full HD IPS Display, NVIDIA Geforce RTX 4050, MS Office Home 2024, Luna Grey, 2.38 KG),Lenovo,126590,Gaming Laptops,Display: 39.62 cms (15.6 inches), FHD IPS | Memory: 24GB DDR5 RAM, 512GB SSD ROM | Processor: Intel Core i5 13th Generation | OS: Windows 11 Home | Graphics: NVIDIA GeForce RTX 4050 | Included Software: Microsoft Office Home 2024 | AI Powered, Anti-Glare Panel, RGB Backlit Keyboard | Warranty: 1 Year Onsite
HP Victus 15-fa2703TX Intel Core i5 13th Gen Gaming Laptop (16GB, 512GB SSD, Windows 11 Home, 4GB Graphics, 15.6 inch 144 Hz Full HD IPS Display, NVIDIA GeForce RTX 2050, MS Office 2024, Mica Silver, 2.29 KG),HP,75660,Gaming Laptops,Display: 39.6 cms (15.6 inches), FHD IPS | Memory: 16GB DDR4 RAM, 512GB M.2 PCIe NVMe SSD ROM | Processor: Intel Core i5 13th Generation | OS: Windows 11 Home | Graphics: NVIDIA GeForce RTX 2050 | Included Software: MS Office Home 2024, Microsoft Xbox Game Pass 3 Month, 1 Year Microsoft 365, McAfee | Intel Turbo Boost Technology, DTS:X Ultra, Flicker-free | Warranty: 1 year Onsite
HP Victus 15-fa2701TX Intel Core i5 13th Gen Gaming Laptop (16GB, 512GB SSD, Windows 11 Home, 6GB Graphics, 15.6 inch 144 Hz Full HD IPS Display, NVIDIA GeForce RTX 4050, MS Office Home 2024, Mica Silver, 2.29 KG),HP,96958,Gaming Laptops,Display: 39.62 cms (15.6 inches), FHD IPS | Memory: 16GB DDR4 RAM, 512GB SSD ROM | Processor: Intel Core i5 13th Generation | OS: Windows 11 Home | Graphics: NVIDIA GeForce RTX 4050 | Included Software: MS Office Home 2024, McAfee Online Protection | Anti Glare Panel, Flicker Free, HP Audio Boost | Warranty: 1 Year Onsite
Lenovo LOQ 15IAX9 Intel Core i5 12th Gen Gaming Laptop (12GB, 512GB SSD, Windows 11 Home, 4GB Graphics, 15.6 inch 144 Hz IPS Display, NVIDIA GeForce RTX 2050, MS Office 2024, Luna Grey, 2.38 KG),Lenovo,92290,Gaming Laptops,Display: 39.2 cms (15.6 inches), IPS | Memory: 12GB GDDR6 RAM, 512GB SSD ROM | Processor: Intel Core i5 12th Generation | OS: Windows 11 Home | Graphics: NVIDIA GeForce RTX 2050 | Included Software: MS Office 2024 | AI Enabled, Bluetooth 5.2 | Warranty: 1 year Onsite
HP OMEN 16-am0241TX Intel Core i7 14th Gen Gaming Laptop (24GB, 1TB SSD, Windows 11 Home, 8GB Graphics, 16 inch 165 Hz 2K IPS Display, NVIDIA GeForce RTX 5050, MS Office Home 2024, Shadow Black, 2.43 KG),HP,162995,Gaming Laptops,Display: 40.6 cms (16 inches), 2K IPS | Memory: 24GB DDR5 RAM, 1TB SSD ROM | Processor: Intel Core i7 14th Generation | OS: Windows 11 Home | Graphics: NVIDIA GeForce RTX 5050 | Included Software: MS Office Home 2024, McAfee Online Protection | Anti Glare, Backlit Keyboard, HP Audio Boost | Warranty: 1 Year Onsite
HP Victus 15-fa2192TX Intel Core i5 13th Gen Gaming Laptop (16GB, 512GB SSD, Windows 11 Home, 4GB Graphics, 15.6 inch 144 Hz Full HD IPS Display, NVIDIA GeForce RTX 3050, MS Office Home 2024, Performance Blue, 2.29 KG),HP,79110,Gaming Laptops,Display: 39.6 cms (15.6 inches), FHD IPS | Memory: 16GB DDR4 RAM, 512GB SSD ROM | Processor: Intel Core i5 13th Generation | OS: Windows 11 Home | Graphics: NVIDIA GeForce RTX 3050 | Included Software: MS Office Home 2024, MIcrosoft 365 Basic | Backlit Keyboard, HP Audio Boost, Flicker Free | Warranty: 1 Year Onsite
ASUS V16 V3607VU-RP550WS Intel Core 5 Gaming Laptop (16GB, 512GB SSD, Windows 11 Home, 6GB Graphics, 16 inch 144 Hz WUXGA IPS Display, NVIDIA GeForce RTX 4050, MS Office Home 2024, Black, 1.95 KG),Asus,107990,Gaming Laptops,Display: 40.64 cms (16 inches), WUXGA IPS | Memory: 16GB DDR5 RAM, 512GB SSD ROM | Processor: Intel Core 5 | OS: Windows 11 Home | Graphics: NVIDIA GeForce RTX 4050 | Included Software: MS Office Home 2024, Microsoft 365 Basic, McAffe | Anti Glare, Backlit Keyboard, SonicMaster | Warranty: 1 Year Onsite
Lenovo LOQ 15IRX9 Intel Core i5 13th Gen Gaming Laptop (24GB, 512GB SSD, Windows 11 Home, 6GB Graphics, 15.6 inch 144 Hz Full HD IPS Display, NVIDIA GeForce RTX 4050, MS Office Home 2024, Luna Grey, 2.38 KG),Lenovo,127790,Gaming Laptops,Display: 39.62 cms (15.6 inches), FHD IPS | Memory: 24GB DDR5 RAM, 512GB SSD ROM | Processor: Intel Core i5 13th Generation | OS: Windows 11 Home | Graphics: NVIDIA GeForce RTX 4050 | Included Software: MS Offie Home 2024 | Anti Glare, G-Sync, RGB Backlit Keyboard | Warranty: 1 Year Onsite
Lenovo LOQ 15IRX9 Intel Core i5 13th Gen Gaming Laptop (16GB, 512GB SSD, Windows 11 Home, 6GB Graphics, 15.6 inch 144 Hz Full HD IPS Display, NVIDIA GeForce RTX 3050, MS Office Home 2024, Luna Grey, 2.38 KG),Lenovo,117490,Gaming Laptops,Display: 39.62 cms (15.6 inches), FHD IPS | Memory: 16GB DDR5 RAM, 512GB SSD ROM | Processor: Intel Core i5 13th Generation | OS: Windows 11 Home | Graphics: NVIDIA GeForce RTX 3050 | Included Software: MS Office Home 2024 | AI-Powered Gaming, Antiglare Display, RGB Backlit Keyboard | Warranty: 1 year Onsite
logitech G304 Wireless Optical Gaming Mouse (12000 DPI Adjustable, HERO Sensor, Black),Logitech,3795,Gaming Mice,For Desktop, Laptop | Connectivity: Wireless | Rechargeable: No | Power Source: 1 x AA Battery | Compatible OS: Windows 7 & above, macOS 10.13 & above, ChromeOS | Mechanical Button Tensioning System, On Board Memory, Ultra Lightweight | 2 Years Warranty
Lenovo IdeaPad Gaming 3 15ACH6 AMD Ryzen 7 (15.6 inch, 8GB, 512GB, Windows 11, MS Office 2021, NVIDIA GeForce RTX 3050, Full HD IPS Display, Shadow Black, 82K2022XIN),Lenovo,123090,Gaming Laptops,Display: 39.62 cm (15.6 inches), FHD IPS | Memory: 8GB DDR4 RAM, 512GB SSD ROM | Processor: AMD Ryzen 7 | OS : Windows 11 | Graphics: NVIDIA GeForce RTX 3050 | Included Software: Microsoft Office Home and Student 2021 | Warranty : 1 years Onsite
HP Victus 15-fb3123AX AMD Ryzen 7 Gaming Laptop (16GB, 512GB SSD, Windows 11 Home, 4GB Graphics, 15.6 inch 144 Hz Full HD Display, NVIDIA GeForce RTX 2050, MS Office Home 2024, Mica SIlver, 2.29 KG),HP,74024,Gaming Laptops,Display: 39.6 cms (15.6 inches), FHD | Memory: 16GB DDR5 RAM, 512GB SSD ROM | Processor: AMD Ryzen 7 | OS: Windows 11 Home | Graphics: NVIDIA GeForce RTX 2050 | Included Software: MS Office Home 2024 | Anti Glare, HP Audio Boost, Backlit Keyboard | Warranty: 1 Year Onsite
HP Victus Intel Core i5 13th Gen Gaming Laptop (16GB, 512GB SSD, Windows 11 Home, 4GB Graphics, 15.6 inch 144 Hz Full HD IPS Display, NVIDIA GeForce RTX 2050, Performance Blue, 2.29 KG),HP,90312,Gaming Laptops,Display: 39.62 cms (15.6 inches), Diagonal FHD | Memory: 16GB DDR4 RAM, 512GB SSD ROM | Processor: Intel Core i5-13420H 13th Generation | OS: Windows 11 Home | Graphics: NVIDIA GeForce RTX 2050 | Included Software: McAfee | Warranty: 1 Year Onsite
Lenovo LOQ 15ARP9 AMD Ryzen 5 Gaming Laptop (12GB, 512GB SSD, Windows 11 Home, 4GB Graphics, 15.6 inch 144 Hz Full HD IPS Display, NVIDIA GeForce RTX 3050A, MS Office Home 2024, Luna Grey, 2.38 KG),Lenovo,93690,Gaming Laptops,Display: 39.62 cms (15.6 inches), FHD IPS | Memory: 12GB DDR5 RAM, 512GB SSD ROM | Processor: AMD Ryzen 5 | OS: Windows 11 Home | Graphics: NVIDIA GeForce RTX 3050A | Included Software: MS Office Home 2024 | Anti Glare Panel, Backlit Keyboard, AI-Powered | Warranty: 1 Year Onsite
HP Victus 16-r1707TX Intel Core i5 14th Gen Gaming Laptop (16GB RAM, 512GB SSD, Windows 11 Home, 6GB Graphics, 16.1 inch 144 Hz Full HD IPS Display, NVIDIA GeForce RTX 3050, Mica Silver, 2.31 KG),HP,94933,Gaming Laptops,Display: 40.89 cms (16.1 inches), FHD IPS | Memory: 16GB DDR5 RAM, 512GB SSD ROM | Processor: Intel Core i5 14th Generation | OS: Windows 11 Home | Graphics: NVIDIA GeForce RTX 3050 | Anti Glare Panel, HP Audio Boost, Backlit Keyboard | Warranty: 1 Year Onsite
DELL G15 5530 Intel Core i7 13th Gen Laptop (16GB, 1TB SSD, Windows 11 Home, 6GB Graphics, 15.6 inch Full HD Display, MS Office 2021, Dark Shadow Gray, 2.8 KG),Dell,117999,Gaming Laptops,Display : 39.62 cms (15.6 inches), Full HD | Memory: 16GB DDR5 RAM, 1TB SSD ROM | Processor: Intel Core i7 | OS: Windows 11 Home | Graphics: NVIDIA GeForce RTX 3050 | Included Software: MS Office Home and Student 2021 | Warranty: 1 Year Onsite
Lenovo LOQ 15ARP9 AMD Ryzen 5 Gaming Laptop (24GB, 512GB SSD, Windows 11 Home, 4GB Graphics, 15.6 inch 144 Hz Full HD IPS Display, NVIDIA GeForce RTX 3050A, MS Office Home 2024, Luna Grey, 2.38 KG),Lenovo,99090,Gaming Laptops,Display: 39.62 cms (15.6 inches), FHD IPS | Memory: 24GB DDR5 RAM, 512GB SSD ROM | Processor: AMD Ryzen 5 | OS: Windows 11 Home | Graphics: NVIDIA GeForce RTX 3050A | Included Software: MS Office Home 2024 | Anti Glare Panel, Backlit Keyboard, AI-Powered | Warranty: 1 Year Onsite
